Dates,v,s
3/31/2001,2.7,CPI XYOY Index
4/30/2001,2.6,CPI XYOY Index
5/31/2001,2.5,CPI XYOY Index
6/30/2001,2.7,CPI XYOY Index
7/31/2001,2.7,CPI XYOY Index
8/31/2001,2.7,CPI XYOY Index
9/30/2001,2.6,CPI XYOY Index
10/31/2001,2.6,CPI XYOY Index
11/30/2001,2.8,CPI XYOY Index
12/31/2001,2.7,CPI XYOY Index
1/31/2002,2.6,CPI XYOY Index
2/28/2002,2.6,CPI XYOY Index
3/31/2002,2.4,CPI XYOY Index
4/30/2002,2.5,CPI XYOY Index
5/31/2002,2.5,CPI XYOY Index
6/30/2002,2.3,CPI XYOY Index
7/31/2002,2.2,CPI XYOY Index
8/31/2002,2.4,CPI XYOY Index
9/30/2002,2.2,CPI XYOY Index
10/31/2002,2.2,CPI XYOY Index
11/30/2002,2,CPI XYOY Index
12/31/2002,1.9,CPI XYOY Index
1/31/2003,1.9,CPI XYOY Index
2/28/2003,1.7,CPI XYOY Index
3/31/2003,1.7,CPI XYOY Index
4/30/2003,1.5,CPI XYOY Index
5/31/2003,1.6,CPI XYOY Index
6/30/2003,1.5,CPI XYOY Index
7/31/2003,1.5,CPI XYOY Index
8/31/2003,1.3,CPI XYOY Index
9/30/2003,1.2,CPI XYOY Index
10/31/2003,1.3,CPI XYOY Index
11/30/2003,1.1,CPI XYOY Index
12/31/2003,1.1,CPI XYOY Index
1/31/2004,1.1,CPI XYOY Index
2/29/2004,1.2,CPI XYOY Index
3/31/2004,1.6,CPI XYOY Index
4/30/2004,1.8,CPI XYOY Index
5/31/2004,1.7,CPI XYOY Index
6/30/2004,1.9,CPI XYOY Index
7/31/2004,1.8,CPI XYOY Index
8/31/2004,1.7,CPI XYOY Index
9/30/2004,2,CPI XYOY Index
10/31/2004,2,CPI XYOY Index
11/30/2004,2.2,CPI XYOY Index
12/31/2004,2.2,CPI XYOY Index
1/31/2005,2.3,CPI XYOY Index
2/28/2005,2.4,CPI XYOY Index
3/31/2005,2.3,CPI XYOY Index
4/30/2005,2.2,CPI XYOY Index
5/31/2005,2.2,CPI XYOY Index
6/30/2005,2,CPI XYOY Index
7/31/2005,2.1,CPI XYOY Index
8/31/2005,2.1,CPI XYOY Index
9/30/2005,2,CPI XYOY Index
10/31/2005,2.1,CPI XYOY Index
11/30/2005,2.1,CPI XYOY Index
12/31/2005,2.2,CPI XYOY Index
1/31/2006,2.1,CPI XYOY Index
2/28/2006,2.1,CPI XYOY Index
3/31/2006,2.1,CPI XYOY Index
4/30/2006,2.3,CPI XYOY Index
5/31/2006,2.4,CPI XYOY Index
6/30/2006,2.6,CPI XYOY Index
7/31/2006,2.7,CPI XYOY Index
8/31/2006,2.8,CPI XYOY Index
9/30/2006,2.9,CPI XYOY Index
10/31/2006,2.7,CPI XYOY Index
11/30/2006,2.6,CPI XYOY Index
12/31/2006,2.6,CPI XYOY Index
1/31/2007,2.7,CPI XYOY Index
2/28/2007,2.7,CPI XYOY Index
3/31/2007,2.5,CPI XYOY Index
4/30/2007,2.3,CPI XYOY Index
5/31/2007,2.2,CPI XYOY Index
6/30/2007,2.2,CPI XYOY Index
7/31/2007,2.2,CPI XYOY Index
8/31/2007,2.1,CPI XYOY Index
9/30/2007,2.1,CPI XYOY Index
10/31/2007,2.2,CPI XYOY Index
11/30/2007,2.3,CPI XYOY Index
12/31/2007,2.4,CPI XYOY Index
1/31/2008,2.5,CPI XYOY Index
2/29/2008,2.3,CPI XYOY Index
3/31/2008,2.4,CPI XYOY Index
4/30/2008,2.3,CPI XYOY Index
5/31/2008,2.3,CPI XYOY Index
6/30/2008,2.4,CPI XYOY Index
7/31/2008,2.5,CPI XYOY Index
8/31/2008,2.5,CPI XYOY Index
9/30/2008,2.5,CPI XYOY Index
10/31/2008,2.2,CPI XYOY Index
11/30/2008,2,CPI XYOY Index
12/31/2008,1.8,CPI XYOY Index
1/31/2009,1.7,CPI XYOY Index
2/28/2009,1.8,CPI XYOY Index
3/31/2009,1.8,CPI XYOY Index
4/30/2009,1.9,CPI XYOY Index
5/31/2009,1.8,CPI XYOY Index
6/30/2009,1.7,CPI XYOY Index
7/31/2009,1.5,CPI XYOY Index
8/31/2009,1.4,CPI XYOY Index
9/30/2009,1.5,CPI XYOY Index
10/31/2009,1.7,CPI XYOY Index
11/30/2009,1.7,CPI XYOY Index
12/31/2009,1.8,CPI XYOY Index
1/31/2010,1.6,CPI XYOY Index
2/28/2010,1.3,CPI XYOY Index
3/31/2010,1.1,CPI XYOY Index
4/30/2010,0.9,CPI XYOY Index
5/31/2010,0.9,CPI XYOY Index
6/30/2010,0.9,CPI XYOY Index
7/31/2010,0.9,CPI XYOY Index
8/31/2010,0.9,CPI XYOY Index
9/30/2010,0.8,CPI XYOY Index
10/31/2010,0.6,CPI XYOY Index
11/30/2010,0.8,CPI XYOY Index
12/31/2010,0.8,CPI XYOY Index
1/31/2011,1,CPI XYOY Index
2/28/2011,1.1,CPI XYOY Index
3/31/2011,1.2,CPI XYOY Index
4/30/2011,1.3,CPI XYOY Index
5/31/2011,1.5,CPI XYOY Index
6/30/2011,1.6,CPI XYOY Index
7/31/2011,1.8,CPI XYOY Index
8/31/2011,2,CPI XYOY Index
9/30/2011,2,CPI XYOY Index
10/31/2011,2.1,CPI XYOY Index
11/30/2011,2.2,CPI XYOY Index
12/31/2011,2.2,CPI XYOY Index
1/31/2012,2.3,CPI XYOY Index
2/29/2012,2.2,CPI XYOY Index
3/31/2012,2.3,CPI XYOY Index
4/30/2012,2.3,CPI XYOY Index
5/31/2012,2.3,CPI XYOY Index
6/30/2012,2.2,CPI XYOY Index
7/31/2012,2.1,CPI XYOY Index
8/31/2012,1.9,CPI XYOY Index
9/30/2012,2,CPI XYOY Index
10/31/2012,2,CPI XYOY Index
11/30/2012,1.9,CPI XYOY Index
12/31/2012,1.9,CPI XYOY Index
1/31/2013,1.9,CPI XYOY Index
2/28/2013,2,CPI XYOY Index
3/31/2013,1.9,CPI XYOY Index
4/30/2013,1.7,CPI XYOY Index
5/31/2013,1.7,CPI XYOY Index
6/30/2013,1.6,CPI XYOY Index
7/31/2013,1.7,CPI XYOY Index
8/31/2013,1.8,CPI XYOY Index
9/30/2013,1.7,CPI XYOY Index
10/31/2013,1.7,CPI XYOY Index
11/30/2013,1.7,CPI XYOY Index
12/31/2013,1.7,CPI XYOY Index
1/31/2014,1.6,CPI XYOY Index
2/28/2014,1.6,CPI XYOY Index
3/31/2014,1.7,CPI XYOY Index
4/30/2014,1.8,CPI XYOY Index
5/31/2014,2,CPI XYOY Index
6/30/2014,1.9,CPI XYOY Index
7/31/2014,1.9,CPI XYOY Index
8/31/2014,1.7,CPI XYOY Index
9/30/2014,1.7,CPI XYOY Index
10/31/2014,1.8,CPI XYOY Index
11/30/2014,1.7,CPI XYOY Index
12/31/2014,1.6,CPI XYOY Index
1/31/2015,1.6,CPI XYOY Index
2/28/2015,1.7,CPI XYOY Index
3/31/2015,1.8,CPI XYOY Index
4/30/2015,1.8,CPI XYOY Index
5/31/2015,1.7,CPI XYOY Index
6/30/2015,1.8,CPI XYOY Index
7/31/2015,1.8,CPI XYOY Index
8/31/2015,1.8,CPI XYOY Index
9/30/2015,1.9,CPI XYOY Index
10/31/2015,1.9,CPI XYOY Index
11/30/2015,2,CPI XYOY Index
12/31/2015,2.1,CPI XYOY Index
1/31/2016,2.2,CPI XYOY Index
2/29/2016,2.3,CPI XYOY Index
3/31/2016,2.2,CPI XYOY Index
